des_chr,des_num,des,name,date_start,date_end,cum_ip
1994GV,,1994GV,,2113-04-11,2113-04-12,8.54e-07
1994GV,,1994GV,,2106-04-15,2106-04-15,8.98e-09
1994GV,,1994GV,,2104-04-11,2104-04-12,1.4133e-07
1994GV,,1994GV,,2103-04-14,2103-04-14,1.66e-11
1994GV,,1994GV,,2101-04-12,2101-04-12,1.24e-06
1994GV,,1994GV,,2099-04-08,2099-04-08,2.77e-08
1994GV,,1994GV,,2080-04-08,2080-04-10,1.3612499999999999e-08
1994GV,,1994GV,,2119-04-12,2119-04-12,2.196e-06
1994GV,,1994GV,,2077-02-20,2077-02-20,2.08e-08
1994GV,,1994GV,,2071-04-11,2071-04-11,2.4805270000000002e-05
1994GV,,1994GV,,2065-04-10,2065-04-10,1.5706999999999997e-05
1994GV,,1994GV,,2063-04-10,2063-04-10,3.04e-08
1994GV,,1994GV,,2056-04-09,2056-04-10,6.945e-07
1994GV,,1994GV,,2051-04-11,2051-04-11,1.23e-05
1994GV,,1994GV,,2048-04-09,2048-04-10,1.24e-05
1994GV,,1994GV,,2077-04-10,2077-04-10,2.17e-07
1994GV,,1994GV,,2039-04-11,2039-04-11,1.19e-09
1994XM1,,1994XM1,,2117-12-08,2117-12-08,1.78e-07
1995CS,,1995CS,,2042-02-03,2042-02-03,4.66e-06
1995CS,,1995CS,,2044-02-04,2044-02-04,1.78e-11
1995CS,,1995CS,,2048-02-03,2048-02-03,3.1e-08
1995CS,,1995CS,,2054-02-03,2054-02-03,3.02e-10
1995CS,,1995CS,,2055-02-03,2055-02-03,2.24e-08
1995CS,,1995CS,,2056-02-03,2056-02-03,5.15e-08
1995CS,,1995CS,,2058-02-03,2058-02-03,3.36305e-07
1995CS,,1995CS,,2059-02-03,2059-02-03,1.28e-10
1995CS,,1995CS,,2061-02-03,2061-02-03,5.6e-08
1995CS,,1995CS,,2062-02-03,2062-02-03,3.67e-11
1995UB,,1995UB,,2121-10-18,2121-10-18,6.65e-10
1996TC1,,1996TC1,,2054-09-26,2054-09-26,3.79e-11
1996TC1,,1996TC1,,2064-09-25,2064-09-25,1.7e-08
1996TC1,,1996TC1,,2067-09-26,2067-09-26,1.24e-06
1996TC1,,1996TC1,,2072-09-25,2072-09-25,4.45e-08
1997TC25,,1997TC25,,2067-09-16,2067-09-16,2.42e-10
1997TC25,,1997TC25,,2096-09-28,2096-09-28,2.62e-07
1997TC25,,1997TC25,,2117-09-22,2117-09-22,4.93e-08
1997UA11,,1997UA11,,2073-10-24,2073-10-24,3.66e-07
1998BT13,,1998BT13,,2032-01-23,2032-01-23,3.68e-08
2000LG6,,2000LG6,,2109-05-23,2109-05-27,1.4030599999999999e-05
2000LG6,,2000LG6,,2111-05-21,2111-05-27,7.251e-07
2000LG6,,2000LG6,,2113-05-26,2113-05-27,1.160256e-07
2000LG6,,2000LG6,,2114-05-23,2114-05-24,1.4229999999999999e-08
2000LG6,,2000LG6,,2120-05-21,2120-05-21,7.44e-09
2000LG6,,2000LG6,,2117-05-25,2117-05-25,2.68e-07
2000LG6,,2000LG6,,2122-05-22,2122-05-24,1.3247e-06
2000LG6,,2000LG6,,2119-05-20,2119-05-20,6.45e-07
2000LG6,,2000LG6,,2108-05-25,2108-05-29,1.821e-07
2000LG6,,2000LG6,,2115-05-22,2115-05-27,1.7648590000000002e-06
2000LG6,,2000LG6,,2107-05-26,2107-05-26,8.68e-08
2000LG6,,2000LG6,,2089-05-26,2089-05-26,1.21e-06
2000LG6,,2000LG6,,2103-05-26,2103-05-26,1.61e-07
2000LG6,,2000LG6,,2101-06-04,2101-06-04,5.43e-08
2000LG6,,2000LG6,,2101-05-27,2101-05-27,3.53e-06
2000LG6,,2000LG6,,2097-05-25,2097-05-25,3.91e-07
2000LG6,,2000LG6,,2094-05-26,2094-05-28,0.0005143001
2000LG6,,2000LG6,,2092-05-26,2092-05-26,1.08e-06
2000LG6,,2000LG6,,2091-05-25,2091-05-25,2.29e-07
2000LG6,,2000LG6,,2090-05-25,2090-05-25,3.57e-07
2000LG6,,2000LG6,,2088-05-26,2088-05-27,0.0008964999999999999
2000LG6,,2000LG6,,2082-05-27,2082-05-27,6.53e-07
2000LG6,,2000LG6,,2105-05-26,2105-05-26,2.2e-07
2000SB45,,2000SB45,,2096-10-08,2096-10-08,1.324e-06
2000SB45,,2000SB45,,2097-10-08,2097-10-08,1.028e-06
2000SB45,,2000SB45,,2099-10-08,2099-10-09,1.2699099999999998e-05
2000SB45,,2000SB45,,2100-10-09,2100-10-09,7.8e-08
2000SB45,,2000SB45,,2101-10-09,2101-10-09,1.33423e-06
2000SB45,,2000SB45,,2113-10-09,2113-10-09,4.258e-07
2000SB45,,2000SB45,,2106-10-09,2106-10-09,3.25e-07
2000SB45,,2000SB45,,2107-10-10,2107-10-10,4.1e-07
2000SB45,,2000SB45,,2112-10-09,2112-10-09,3.01e-06
2000SB45,,2000SB45,,2094-10-08,2094-10-08,1.3251000000000001e-07
2000SB45,,2000SB45,,2105-10-09,2105-10-09,1.87e-06
2000SB45,,2000SB45,,2093-10-08,2093-10-08,7.32133e-07
2000SB45,,2000SB45,,2085-10-08,2085-10-08,2.15e-05
2000SB45,,2000SB45,,2088-10-08,2088-10-08,1.9478e-05
2000SB45,,2000SB45,,2091-10-09,2091-10-09,3.235e-06
2000SB45,,2000SB45,,2074-10-08,2074-10-08,5.37e-06
2000SB45,,2000SB45,,2079-10-08,2079-10-08,3.55e-07
2000SB45,,2000SB45,,2080-10-08,2080-10-08,1.7984e-05
2000SB45,,2000SB45,,2081-10-08,2081-10-08,2.2339e-06
2000SB45,,2000SB45,,2078-10-08,2078-10-08,2.1219999999999998e-06
2000SB45,,2000SB45,,2083-10-08,2083-10-08,1.66e-06
2000SB45,,2000SB45,,2084-10-08,2084-10-08,2.176595e-05
2000SB45,,2000SB45,,2086-10-08,2086-10-08,7.598999999999999e-07
2000SB45,,2000SB45,,2087-10-08,2087-10-08,8.612300000000001e-07
2000SB45,,2000SB45,,2082-10-08,2082-10-08,4.85e-06
2000SG344,,2000SG344,,2108-01-31,2108-01-31,3.61e-07
2000SG344,,2000SG344,,2109-09-03,2109-09-14,4.8514425000000006e-05
2000SG344,,2000SG344,,2108-03-14,2108-03-14,1.73e-08
2000SG344,,2000SG344,,2108-08-02,2108-08-04,2.398e-07
2000SG344,,2000SG344,,2108-09-09,2108-09-14,3.544680000000001e-05
2000SG344,,2000SG344,,2109-01-25,2109-01-30,2.0036e-06
2000SG344,,2000SG344,,2109-07-17,2109-07-17,7.76e-09
2000SG344,,2000SG344,,2109-08-07,2109-08-21,8.128975e-06
2000SG344,,2000SG344,,2110-01-28,2110-02-05,5.039e-06
2000SG344,,2000SG344,,2111-12-24,2111-12-24,5.73e-08
2000SG344,,2000SG344,,2110-09-04,2110-09-14,7.91018e-05
2000SG344,,2000SG344,,2111-01-27,2111-02-06,7.43946e-06
2000SG344,,2000SG344,,2111-06-28,2111-06-28,5.14e-10
2000SG344,,2000SG344,,2111-08-06,2111-09-06,1.0531168999999998e-06
2000SG344,,2000SG344,,2108-01-23,2108-01-24,1.2969e-06
2000SG344,,2000SG344,,2111-12-31,2111-12-31,5.73e-08
2000SG344,,2000SG344,,2112-01-27,2112-02-06,2.4184923000000002e-06
2000SG344,,2000SG344,,2112-03-11,2112-03-11,2.34e-08
2000SG344,,2000SG344,,2112-07-20,2112-07-20,2.02e-07
2000SG344,,2000SG344,,2110-08-03,2110-08-15,1.1339e-06
2000SG344,,2000SG344,,2107-09-09,2107-09-10,2.6705e-05
2000SG344,,2000SG344,,2106-02-06,2106-02-06,3.4e-07
2000SG344,,2000SG344,,2107-05-06,2107-05-06,1.13e-07
2000SG344,,2000SG344,,2102-08-31,2102-09-10,3.7254179999999996e-06
2000SG344,,2000SG344,,2102-12-01,2102-12-01,2.17e-06
2000SG344,,2000SG344,,2103-01-24,2103-01-25,2.7177e-07
2000SG344,,2000SG344,,2103-02-15,2103-02-15,5.59e-08
2000SG344,,2000SG344,,2103-08-21,2103-08-21,6.02e-07
2000SG344,,2000SG344,,2103-09-02,2103-09-14,6.041893999999999e-06
2000SG344,,2000SG344,,2104-02-01,2104-02-04,3.616e-08
2000SG344,,2000SG344,,2104-02-14,2104-02-14,4.38e-08
2000SG344,,2000SG344,,2104-06-04,2104-06-04,6.31e-09
2000SG344,,2000SG344,,2104-08-07,2104-08-07,5.46e-08
2000SG344,,2000SG344,,2104-08-21,2104-08-21,1.89e-08
2000SG344,,2000SG344,,2104-09-02,2104-09-10,7.745435400000001e-06
2000SG344,,2000SG344,,2105-02-05,2105-02-05,4.77e-07
2000SG344,,2000SG344,,2105-02-21,2105-02-21,1.43e-08
2000SG344,,2000SG344,,2105-06-19,2105-06-19,3.89e-09
2000SG344,,2000SG344,,2105-08-08,2105-08-08,8.29e-09
2000SG344,,2000SG344,,2105-09-01,2105-09-11,1.3246352699999999e-05
2000SG344,,2000SG344,,2112-08-04,2112-08-14,1.8380685000000001e-06
2000SG344,,2000SG344,,2106-09-09,2106-09-13,2.0618912999999996e-05
2000SG344,,2000SG344,,2106-12-10,2106-12-10,2.99e-07
2000SG344,,2000SG344,,2107-01-22,2107-02-05,5.1e-06
2000SG344,,2000SG344,,2107-08-20,2107-08-20,1.77e-08
2000SG344,,2000SG344,,2112-09-03,2112-09-08,5.03024e-07
2000SG344,,2000SG344,,2113-08-07,2113-08-13,9.13e-07
2000SG344,,2000SG344,,2113-02-02,2113-02-07,3.9466e-06
2000SG344,,2000SG344,,2117-08-29,2117-08-29,5.51e-08
2000SG344,,2000SG344,,2117-09-06,2117-09-15,1.338296e-07
2000SG344,,2000SG344,,2118-07-20,2118-07-29,2.58e-06
2000SG344,,2000SG344,,2118-08-05,2118-08-22,1.0300700000000001e-06
2000SG344,,2000SG344,,2118-09-08,2118-09-11,2.61e-08
2000SG344,,2000SG344,,2119-07-24,2119-08-01,4.2709e-06
2000SG344,,2000SG344,,2119-08-11,2119-08-21,6.8672999999999995e-06
2000SG344,,2000SG344,,2119-09-11,2119-09-13,4.5710000000000004e-07
2000SG344,,2000SG344,,2120-06-17,2120-06-17,7.59e-08
2000SG344,,2000SG344,,2117-08-10,2117-08-12,7.491e-07
2000SG344,,2000SG344,,2120-07-22,2120-08-05,3.553738e-06
2000SG344,,2000SG344,,2120-08-30,2120-09-01,1.828e-07
2000SG344,,2000SG344,,2120-09-10,2120-09-12,7.3813e-09
2000SG344,,2000SG344,,2121-07-26,2121-07-26,3.97e-07
2000SG344,,2000SG344,,2121-08-20,2121-08-20,3.25e-09
2000SG344,,2000SG344,,2121-09-02,2121-09-02,2.96e-08
2000SG344,,2000SG344,,2121-09-11,2121-09-11,1.35e-07
2000SG344,,2000SG344,,2121-12-05,2121-12-05,2.98e-08
2000SG344,,2000SG344,,2122-01-06,2122-01-06,1.67e-08
2000SG344,,2000SG344,,2102-08-20,2102-08-23,4.9405e-05
2000SG344,,2000SG344,,2120-08-18,2120-08-18,1.8466100000000003e-05
2000SG344,,2000SG344,,2117-07-22,2117-08-03,6.768e-07
2000SG344,,2000SG344,,2117-05-11,2117-05-11,3.78e-10
2000SG344,,2000SG344,,2117-01-29,2117-01-29,2.05e-07
2000SG344,,2000SG344,,2113-03-10,2113-03-10,2.72e-08
2000SG344,,2000SG344,,2113-05-10,2113-05-10,5.52e-09
2000SG344,,2000SG344,,2113-07-15,2113-07-21,6.520000000000001e-07
2000SG344,,2000SG344,,2113-09-03,2113-09-16,1.0135195000000001e-06
2000SG344,,2000SG344,,2114-02-06,2114-02-06,1.9479999999999997e-07
2000SG344,,2000SG344,,2114-03-09,2114-03-09,2.49e-10
2000SG344,,2000SG344,,2114-07-16,2114-07-16,6.97e-08
2000SG344,,2000SG344,,2114-07-23,2114-07-23,6.48e-07
2000SG344,,2000SG344,,2114-08-04,2114-08-13,1.6431999999999998e-06
2000SG344,,2000SG344,,2114-08-31,2114-09-10,2.0360470000000003e-06
2000SG344,,2000SG344,,2114-12-26,2114-12-26,5.17e-08
2000SG344,,2000SG344,,2115-01-29,2115-02-04,1.61404e-07
2000SG344,,2000SG344,,2115-07-22,2115-07-28,2.4259999999999997e-06
2000SG344,,2000SG344,,2115-08-09,2115-08-19,5.1888e-06
2000SG344,,2000SG344,,2115-08-30,2115-09-02,1.660767e-07
2000SG344,,2000SG344,,2116-02-03,2116-02-03,1.26e-07
2000SG344,,2000SG344,,2116-07-24,2116-07-26,8.202e-07
2000SG344,,2000SG344,,2116-08-10,2116-08-20,4.2534e-06
2000SG344,,2000SG344,,2116-08-30,2116-08-30,4.45e-09
2000SG344,,2000SG344,,2116-09-06,2116-09-06,2.91e-08
2000SG344,,2000SG344,,2116-12-21,2116-12-21,4.61e-11
2000SG344,,2000SG344,,2112-12-25,2112-12-25,1.71e-08
2000SG344,,2000SG344,,2102-02-01,2102-02-09,1.9680000000000002e-07
2000SG344,,2000SG344,,2121-08-02,2121-08-11,2.230026e-07
2000SG344,,2000SG344,,2101-12-07,2101-12-07,5.6072e-07
2000SG344,,2000SG344,,2088-08-08,2088-08-08,4.19e-08
2000SG344,,2000SG344,,2088-09-02,2088-09-09,1.458e-06
2000SG344,,2000SG344,,2088-12-06,2088-12-06,4.51e-07
2000SG344,,2000SG344,,2089-07-24,2089-07-24,2.48e-07
2000SG344,,2000SG344,,2089-09-03,2089-09-09,1.2167000000000001e-06
2000SG344,,2000SG344,,2089-12-11,2089-12-11,1.55e-07
2000SG344,,2000SG344,,2090-01-24,2090-01-24,1.72e-08
2000SG344,,2000SG344,,2090-09-01,2090-09-11,1.196259e-06
2000SG344,,2000SG344,,2090-12-26,2090-12-26,2.85e-08
2000SG344,,2000SG344,,2087-09-02,2087-09-10,1.033994e-06
2000SG344,,2000SG344,,2091-01-24,2091-01-24,2.1e-08
2000SG344,,2000SG344,,2091-08-11,2091-08-11,1.92e-09
2000SG344,,2000SG344,,2091-08-30,2091-09-12,1.62467e-06
2000SG344,,2000SG344,,2091-12-24,2091-12-24,1.5e-07
2000SG344,,2000SG344,,2092-01-22,2092-01-22,2.54e-11
2000SG344,,2000SG344,,2092-08-05,2092-08-13,2.00640807e-05
2000SG344,,2000SG344,,2092-09-03,2092-09-10,2.047e-06
2000SG344,,2000SG344,,2092-12-22,2092-12-22,5.12e-07
2000SG344,,2000SG344,,2093-07-26,2093-07-26,6.21e-07
2000SG344,,2000SG344,,2093-08-04,2093-08-12,5.08034e-05
2000SG344,,2000SG344,,2091-08-03,2091-08-03,0.000125
2000SG344,,2000SG344,,2093-08-28,2093-08-28,4.93e-10
2000SG344,,2000SG344,,2087-08-17,2087-08-17,1.04e-10
2000SG344,,2000SG344,,2086-11-28,2086-11-28,1.17e-07
2000SG344,,2000SG344,,2102-01-12,2102-01-12,5.17e-07
2000SG344,,2000SG344,,2070-09-17,2070-09-17,0.000289
2000SG344,,2000SG344,,2071-02-08,2071-02-08,1.43e-08
2000SG344,,2000SG344,,2071-09-10,2071-09-16,0.00102
2000SG344,,2000SG344,,2072-02-03,2072-02-03,3.48e-06
2000SG344,,2000SG344,,2072-02-10,2072-02-14,3.77e-08
2000SG344,,2000SG344,,2072-09-08,2072-09-13,2.1510000000000002e-06
2000SG344,,2000SG344,,2073-02-01,2073-02-01,1.19e-05
2000SG344,,2000SG344,,2073-02-09,2073-02-12,2.1930000000000002e-05
2000SG344,,2000SG344,,2087-08-08,2087-08-08,2.55e-08
2000SG344,,2000SG344,,2074-01-28,2074-01-28,3.24e-06
2000SG344,,2000SG344,,2078-09-06,2078-09-06,3.69e-07
2000SG344,,2000SG344,,2079-09-04,2079-09-08,1.599e-06
2000SG344,,2000SG344,,2080-09-06,2080-09-06,1.82e-07
2000SG344,,2000SG344,,2081-08-30,2081-09-11,1.904556e-06
2000SG344,,2000SG344,,2082-09-07,2082-09-07,2.81e-07
2000SG344,,2000SG344,,2083-09-03,2083-09-09,1.2190719e-06
2000SG344,,2000SG344,,2084-09-02,2084-09-08,1.933e-06
2000SG344,,2000SG344,,2085-08-30,2085-09-06,1.78031e-06
2000SG344,,2000SG344,,2086-08-31,2086-09-09,1.1771000000000001e-06
2000SG344,,2000SG344,,2074-02-08,2074-02-10,7.02e-05
2000SG344,,2000SG344,,2093-09-04,2093-09-10,2.1582e-06
2000SG344,,2000SG344,,2069-09-18,2069-09-18,5.38e-07
2000SG344,,2000SG344,,2093-12-29,2093-12-29,9.9e-08
2000SG344,,2000SG344,,2097-12-08,2097-12-12,1.412e-06
2000SG344,,2000SG344,,2098-01-01,2098-01-01,3.44e-07
2000SG344,,2000SG344,,2098-08-13,2098-09-12,0.00011911820660000003
2000SG344,,2000SG344,,2098-11-20,2098-11-20,3.05e-07
2000SG344,,2000SG344,,2098-12-10,2098-12-11,3.96072e-06
2000SG344,,2000SG344,,2099-01-24,2099-01-24,3.86e-08
2000SG344,,2000SG344,,2099-07-24,2099-07-24,2.18e-07
2000SG344,,2000SG344,,2099-08-08,2099-08-08,1.95e-08
2000SG344,,2000SG344,,2099-08-20,2099-09-13,0.0003687129077000001
2000SG344,,2000SG344,,2097-08-02,2097-09-11,7.906792340000001e-05
2000SG344,,2000SG344,,2100-01-06,2100-01-06,4.33e-07
2000SG344,,2000SG344,,2100-08-19,2100-09-03,1.1686999999999998e-05
2000SG344,,2000SG344,,2100-09-11,2100-09-19,1.9537e-05
2000SG344,,2000SG344,,2100-11-26,2100-11-26,1.6e-07
2000SG344,,2000SG344,,2100-12-08,2100-12-08,1.26e-06
2000SG344,,2000SG344,,2101-09-01,2101-09-16,4.919027e-05
2000SG344,,2000SG344,,2101-02-01,2101-02-01,1.74e-11
2000SG344,,2000SG344,,2101-05-21,2101-05-21,3.08e-08
2000SG344,,2000SG344,,2101-06-20,2101-06-20,1.18e-09
2000SG344,,2000SG344,,2101-08-23,2101-08-25,1.585207e-05
2000SG344,,2000SG344,,2100-03-23,2100-03-23,4.17e-08
2000SG344,,2000SG344,,2097-02-01,2097-02-01,2.02e-09
2000SG344,,2000SG344,,2099-12-09,2099-12-09,3.03e-06
2000SG344,,2000SG344,,2096-08-31,2096-09-14,3.933596e-06
2000SG344,,2000SG344,,2096-12-14,2096-12-14,1.97e-06
2000SG344,,2000SG344,,2094-01-25,2094-01-25,4.21e-08
2000SG344,,2000SG344,,2094-05-01,2094-05-01,2.87e-07
2000SG344,,2000SG344,,2094-05-21,2094-05-21,8.21e-11
2000SG344,,2000SG344,,2094-07-01,2094-07-01,3.37e-09
2000SG344,,2000SG344,,2094-07-29,2094-07-29,1.23e-06
2000SG344,,2000SG344,,2094-08-06,2094-08-19,3.972566099999999e-06
2000SG344,,2000SG344,,2094-08-30,2094-08-30,9.95e-08
2000SG344,,2000SG344,,2094-09-07,2094-09-09,7.5341599999999995e-06
2000SG344,,2000SG344,,2094-12-19,2094-12-19,5.39e-10
2000SG344,,2000SG344,,2094-12-30,2094-12-30,3.75e-08
2000SG344,,2000SG344,,2093-12-16,2093-12-16,7.4e-10
2000SG344,,2000SG344,,2095-08-01,2095-08-05,1.271e-06
2000SG344,,2000SG344,,2095-08-14,2095-08-22,2.53703e-05
2000SG344,,2000SG344,,2095-08-29,2095-09-13,1.8188800000000002e-06
2000SG344,,2000SG344,,2095-12-16,2095-12-16,2.3e-07
2000SG344,,2000SG344,,2095-12-25,2095-12-25,4.33e-07
2000SG344,,2000SG344,,2096-01-20,2096-01-20,8.7e-09
2000SG344,,2000SG344,,2096-01-31,2096-01-31,3.94e-08
2000SG344,,2000SG344,,2096-02-24,2096-02-24,3.51e-09
2000SG344,,2000SG344,,2096-08-07,2096-08-24,5.76656539e-05
2000SG344,,2000SG344,,2095-06-26,2095-06-26,3.95e-08
2000SZ162,,2000SZ162,,2084-06-28,2084-06-28,4.64e-08
2000SZ162,,2000SZ162,,2120-10-19,2120-10-19,8.3e-08
2000SZ162,,2000SZ162,,2113-06-16,2113-06-16,7.66e-09
2000SZ162,,2000SZ162,,2112-06-26,2112-06-26,1.85e-08
2000SZ162,,2000SZ162,,2104-07-13,2104-07-13,3.13e-07
2000SZ162,,2000SZ162,,2091-07-14,2091-07-14,3.08e-07
2000SZ162,,2000SZ162,,2079-06-23,2079-06-23,4.36e-08
2000SZ162,,2000SZ162,,2078-07-15,2078-07-15,3.37e-07
2000SZ162,,2000SZ162,,2078-06-22,2078-06-22,1.75e-07
2000SZ162,,2000SZ162,,2070-06-22,2070-06-22,7.28e-07
2000SZ162,,2000SZ162,,2066-07-05,2066-07-05,1.8e-08
2000SZ162,,2000SZ162,,2089-06-23,2089-06-23,4.23e-09
2000WJ107,,2000WJ107,,2110-11-20,2110-11-20,7.27e-08
2000WJ107,,2000WJ107,,2114-11-19,2114-11-20,2.8348e-06
2000WJ107,,2000WJ107,,2115-11-20,2115-11-20,1.09869e-07
2000WJ107,,2000WJ107,,2119-11-20,2119-11-20,4.620800000000001e-06
2001BA16,,2001BA16,,2041-01-15,2041-01-15,1.27e-06
2001BA16,,2001BA16,,2040-01-15,2040-01-15,6.67e-09
2001BA16,,2001BA16,,2051-01-15,2051-01-15,8.32e-08
2001HJ31,,2001HJ31,,2122-04-12,2122-04-12,4.85e-08
2001HJ31,,2001HJ31,,2119-04-12,2119-04-12,5.82e-10
2001SB170,,2001SB170,,2121-03-18,2121-03-18,1.34e-10
2001SB170,,2001SB170,,2095-03-17,2095-03-17,1.69e-08
2001SB170,,2001SB170,,2082-03-17,2082-03-17,2.21e-09
2001SB170,,2001SB170,,2089-03-17,2089-03-17,1.53e-08
2001UD5,,2001UD5,,2068-10-08,2068-10-08,2.22e-09
2001VB,,2001VB,,2089-07-18,2089-07-18,1.84e-10
2001YN2,,2001YN2,,2079-12-16,2079-12-16,5.76e-08
2001YN2,,2001YN2,,2091-12-16,2091-12-16,3.44e-08
2002AN129,,2002AN129,,2111-05-04,2111-05-04,3.09e-08
2002EM7,,2002EM7,,2117-03-09,2117-03-09,6.809e-08
2002GM5,,2002GM5,,2113-10-04,2113-10-04,1.26246e-08
2002RB182,,2002RB182,,2120-10-12,2120-10-12,4.25e-09
2002RB182,,2002RB182,,2118-09-24,2118-09-24,2.88e-07
2002RB182,,2002RB182,,2114-09-23,2114-09-23,8.56e-10
2002RB182,,2002RB182,,2108-10-12,2108-10-12,1.18e-06
2002RB182,,2002RB182,,2104-10-10,2104-10-12,2.0044e-06
2002RB182,,2002RB182,,2110-09-27,2110-09-27,1.45e-06
2002RB182,,2002RB182,,2099-10-05,2099-10-05,1.9e-09
2002RB182,,2002RB182,,2088-10-07,2088-10-07,4.44e-07
2002RB182,,2002RB182,,2080-10-06,2080-10-06,1.18e-08
2002RB182,,2002RB182,,2076-10-06,2076-10-07,9.766199999999998e-07
2002RB182,,2002RB182,,2055-10-01,2055-10-01,7.72e-11
2002RB182,,2002RB182,,2100-10-11,2100-10-11,9.99e-09
2002TY59,,2002TY59,,2118-10-03,2118-10-03,8.56e-08
2002TY59,,2002TY59,,2116-10-02,2116-10-02,7.649e-09
2002TY59,,2002TY59,,2115-10-03,2115-10-03,1.05e-08
2002TY59,,2002TY59,,2114-10-03,2114-10-03,5.45e-06
2002TY59,,2002TY59,,2110-10-03,2110-10-03,1.09e-05
2002TY59,,2002TY59,,2103-10-03,2103-10-03,2.72e-11
2002TY59,,2002TY59,,2108-10-03,2108-10-03,9.05e-09
2002TY59,,2002TY59,,2094-10-02,2094-10-02,7.2e-09
2002TY59,,2002TY59,,2084-10-01,2084-10-01,3.54e-07
2002TY59,,2002TY59,,2074-10-02,2074-10-02,2.59e-10
2002TY59,,2002TY59,,2109-10-03,2109-10-03,5.93e-09
2002UV36,,2002UV36,,2087-10-26,2087-10-26,9.84e-05
2002VU17,,2002VU17,,2084-11-16,2084-11-16,5.085e-06
2002VU17,,2002VU17,,2099-11-17,2099-11-17,8.07e-06
2002VY91,,2002VY91,,2119-11-09,2119-11-10,3.132e-06
2002XV90,,2002XV90,,2078-12-11,2078-12-11,1.067e-10
2002XV90,,2002XV90,,2102-12-12,2102-12-12,3.1e-09
2002XV90,,2002XV90,,2113-12-12,2113-12-12,3.76e-08
2002XV90,,2002XV90,,2114-12-12,2114-12-12,1.04e-11
2003DW10,,2003DW10,,2048-03-02,2048-03-02,6.53e-08
2003DW10,,2003DW10,,2054-03-02,2054-03-02,1.02e-07
2003DW10,,2003DW10,,2066-03-02,2066-03-02,4.5e-09
2003SQ222,,2003SQ222,,2101-09-28,2101-09-28,1.21e-08
2003UM3,,2003UM3,,2116-10-14,2116-10-14,4.56e-10
2003UM3,,2003UM3,,2107-10-14,2107-10-14,3.66e-09
2003UM3,,2003UM3,,2101-10-13,2101-10-13,1.91e-08
2003UM3,,2003UM3,,2088-10-12,2088-10-12,1.57e-09
2003UM3,,2003UM3,,2086-10-13,2086-10-13,7.61e-08
2003UM3,,2003UM3,,2109-10-14,2109-10-14,9.05e-10
2003UM3,,2003UM3,,2070-10-13,2070-10-13,1.67e-10
2003UM3,,2003UM3,,2069-10-12,2069-10-12,1.22e-08
